date,track,track_key,hhmm,race_time_iso,category_raw,category_norm,TimeformTop1,TimeformTop2,TimeformTop3,Forecast1,Forecast2,Forecast3,Forecast1Odds,Forecast2Odds,Forecast3Odds
2026-01-17,Dunstall Park,Dunstall Park,20:18,2026-01-17T20:18,A,A,Ceejay Sparkle,Shortwood Design,Ace Impact,Ceejay Sparkle,Shortwood Design,Got One Better,1.36,4.5,7.0
2026-01-17,Dunstall Park,Dunstall Park,20:38,2026-01-17T20:38,A,A,Heathmill Nidge,Signet Maisie,Cappaneale Rocky,Heathmill Nidge,Signet Maisie,Cappaneale Rocky,3.5,4.0,5.0
2026-01-17,Dunstall Park,Dunstall Park,20:58,2026-01-17T20:58,A,A,Swift Ida,Burrow Puma,Kelseys Angel,Swift Ida,Burrow Puma,Kelseys Angel,2.2,4.0,5.5
2026-01-17,Dunstall Park,Dunstall Park,21:18,2026-01-17T21:18,A,A,Mercia Thor,Distant Pablo,Ridgedale Zuni,Mercia Thor,Distant Pablo,Ridgedale Zuni,2.88,3.5,4.0
2026-01-17,Dunstall Park,Dunstall Park,21:38,2026-01-17T21:38,A,A,Shockwave Suhail,Mohican Lucy,Limekiln Pam,Shockwave Suhail,Mohican Lucy,Limekiln Pam,3.5,3.5,3.75
2026-01-17,Dunstall Park,Dunstall Park,21:54,2026-01-17T21:54,A,A,Blazeaway Jorge,Pandemonium Blue,Darley Pope,Pandemonium Blue,Blazeaway Jorge,Darley Pope,3.25,4.5,5.5
2026-01-17,Romford,Romford,18:42,2026-01-17T18:42,A,A,Rapido Jane,Stonepark Susie,Knockdrinna Lass,Rapido Jane,Stonepark Susie,Knockdrinna Lass,3.75,4.0,5.0
2026-01-17,Romford,Romford,19:02,2026-01-17T19:02,A,A,Maxgrove Diamond,Jeopardy Venus,Hollywood Paso,Maxgrove Diamond,Hollywood Paso,Jeopardy Venus,3.0,3.75,4.0
2026-01-17,Romford,Romford,19:22,2026-01-17T19:22,A,A,Da Young Lad,Underground Zeus,El Regreso,Da Young Lad,Underground Zeus,El Regreso,2.38,5.5,5.5
2026-01-17,Romford,Romford,19:42,2026-01-17T19:42,A,A,Olwinn Swift,Miami Diversity,Crohane Topaz,Olwinn Swift,Miami Diversity,Crohane Topaz,3.5,3.5,5.0
2026-01-17,Romford,Romford,20:02,2026-01-17T20:02,A,A,Urry Up Nicky,Mr Molesley,Crossfield Becca,Urry Up Nicky,Crossfield Becca,Mr Molesley,3.5,4.0,5.5
2026-01-17,Romford,Romford,20:22,2026-01-17T20:22,A,A,Queen Libianca,Little Gael,Hollywood Vegas,Queen Libianca,Little Gael,Bensourboy,2.75,4.0,5.0
2026-01-17,Romford,Romford,20:42,2026-01-17T20:42,A,A,Bubbly Amber,Distant Rover,Alan The First,Distant Rover,Bubbly Amber,Droopys Swanky,3.25,3.75,6.5
2026-01-17,Romford,Romford,21:02,2026-01-17T21:02,A,A,Smelly Nellie,Pricey Emma,Blackrose Bond,Smelly Nellie,Blackrose Bond,Pricey Emma,2.0,5.0,5.5
2026-01-17,Romford,Romford,21:22,2026-01-17T21:22,A,A,Mollycoddle,Miss Manage,Newtown Anna,Mollycoddle,Miss Manage,Newtown Anna,3.5,4.0,4.5
2026-01-17,Romford,Romford,21:42,2026-01-17T21:42,A,A,Goulane Vegas,Bubbly Queenie,Skylars Dream,Goulane Vegas,Bubbly Queenie,Hollywood Samba,2.75,3.75,5.0
2026-01-17,Romford,Romford,21:58,2026-01-17T21:58,A,A,Tip Top Niamh,Crossfield Amy,Jeopardy Raven,Tip Top Niamh,Crossfield Amy,Jeopardy Raven,2.38,3.25,5.0
2026-01-17,Romford,Romford,22:20,2026-01-17T22:20,A,A,Bombay Buck,Siomhas Princess,Bubbly Thunder,Siomhas Princess,Bubbly Thunder,Bombay Buck,2.5,2.88,3.25
2026-01-17,Oxford,Oxford,18:04,2026-01-17T18:04,A,A,Savana Ripple,Alohas Rascal,Savana Shady,Savana Ripple,Millbank Queenie,Alohas Rascal,2.88,4.33,4.5
2026-01-17,Oxford,Oxford,18:21,2026-01-17T18:21,A,A,All Long,Silvertown Blues,Ballymac Dashel,All Long,Silvertown Blues,Ballymac Dashel,3.25,3.5,4.0
2026-01-17,Oxford,Oxford,18:39,2026-01-17T18:39,A,A,Pauls Opinion,Footfield Stitch,Savana Imogen,Pauls Opinion,Footfield Stitch,Springwood Kane,3.5,3.5,4.5
2026-01-17,Oxford,Oxford,18:56,2026-01-17T18:56,A,A,Gert Lush,Baggios Nikita,Savana Maggiemay,Gert Lush,Baggios Nikita,Savana Maggiemay,1.8,4.33,5.5
2026-01-17,Oxford,Oxford,19:14,2026-01-17T19:14,A,A,Bristol Lad,Ballydoyle Boo,Maree Master,Bristol Lad,Ballydoyle Boo,Maree Master,2.88,4.0,4.5
2026-01-17,Oxford,Oxford,19:31,2026-01-17T19:31,A,A,Ballymac Lez,Ballymac Mags,Drews Fantasy,Ballymac Lez,Ballymac Mags,Drews Fantasy,1.14,3.75,6.5
2026-01-17,Oxford,Oxford,19:51,2026-01-17T19:51,A,A,Savana Sparky,Savana Rip,Savanawinnimarie,Savana Sparky,Savana Rip,Hoxton Star,2.25,3.75,4.33
2026-01-17,Oxford,Oxford,20:09,2026-01-17T20:09,A,A,Savana Marylou,Corcass Honey,Savana Monica,Corcass Honey,Hiya Blackie,Savana Marylou,2.0,3.5,4.5
2026-01-17,Oxford,Oxford,20:26,2026-01-17T20:26,A,A,Ballymac Indo,Showemyourtail,Jazzy Vibe,Ballymac Indo,Showemyourtail,Jazzy Vibe,3.0,3.75,4.0
2026-01-17,Oxford,Oxford,20:43,2026-01-17T20:43,A,A,Classic Waltz,Ma Baker,Ballymac Shelly,Ballymac Shelly,Ma Baker,Classic Waltz,2.88,3.5,4.0
2026-01-17,Oxford,Oxford,21:01,2026-01-17T21:01,A,A,Mylane Curly,Spot On Amethyst,Savana Ohmy Jo,Spot On Amethyst,Mylane Curly,Savana Ohmy Jo,3.5,3.75,4.0
2026-01-17,Oxford,Oxford,21:18,2026-01-17T21:18,A,A,Savana Sakari,Savana Boycie,Jurassic Joker,Savana Sakari,Jurassic Joker,Savana Boycie,2.25,3.75,4.5
2026-01-17,Doncaster,Doncaster,18:11,2026-01-17T18:11,A,A,Royal Flush,Emers Jazzy,Missyoulikecrazy,Royal Flush,Emers Jazzy,Missyoulikecrazy,1.2,4.0,8.0
2026-01-17,Doncaster,Doncaster,18:29,2026-01-17T18:29,A,A,Ballymac Alexis,Cockney Summer,Stoneparkfortune,Cockney Summer,Ballymac Alexis,Stoneparkfortune,2.2,2.25,5.5
2026-01-17,Doncaster,Doncaster,18:46,2026-01-17T18:46,A,A,Roundies Shadow,Abigails Sunny,Grouchos Emily,Roundies Shadow,Abigails Sunny,Grouchos Emily,2.38,4.0,5.0
2026-01-17,Doncaster,Doncaster,19:04,2026-01-17T19:04,A,A,Links Gloria,The Frogs Legacy,Cockneychampagne,The Frogs Legacy,Links Gloria,Cockneychampagne,2.75,3.5,4.5
